CENTROX,CENTROY,EA
595000.0000,4765000.000,1
585000.0000,4775000.000,1
595000.0000,4775000.000,1
665000.0000,4705000.000,1
675000.0000,4705000.000,1
685000.0000,4705000.000,1
695000.0000,4705000.000,1
665000.0000,4715000.000,1
695000.0000,4715000.000,1
655000.0000,4725000.000,1
665000.0000,4725000.000,1
685000.0000,4725000.000,1
695000.0000,4725000.000,1
655000.0000,4735000.000,1
665000.0000,4735000.000,1
675000.0000,4735000.000,1
685000.0000,4735000.000,1
695000.0000,4735000.000,1
635000.0000,4745000.000,1
645000.0000,4745000.000,1
655000.0000,4745000.000,1
665000.0000,4745000.000,1
675000.0000,4745000.000,1
685000.0000,4745000.000,1
695000.0000,4745000.000,1
615000.0000,4755000.000,1
635000.0000,4755000.000,1
645000.0000,4755000.000,1
655000.0000,4755000.000,1
665000.0000,4755000.000,1
675000.0000,4755000.000,1
685000.0000,4755000.000,1
695000.0000,4755000.000,1
605000.0000,4765000.000,1
615000.0000,4765000.000,1
625000.0000,4765000.000,1
635000.0000,4765000.000,1
645000.0000,4765000.000,1
655000.0000,4765000.000,1
665000.0000,4765000.000,1
605000.0000,4775000.000,1
615000.0000,4775000.000,1
625000.0000,4775000.000,1
635000.0000,4775000.000,1
645000.0000,4775000.000,1
615000.0000,4785000.000,1
625000.0000,4785000.000,1
635000.0000,4785000.000,1
625000.0000,4795000.000,1
665000.0000,4695000.000,1
675000.0000,4695000.000,1
685000.0000,4695000.000,1
695000.0000,4695000.000,1
742900.3160,4735000.000,1
743077.7688,4725000.000,1
743784.9059,4685000.000,1
705000.0000,4745000.000,1
715000.0000,4745000.000,1
725000.0000,4745000.000,1
705000.0000,4735000.000,1
715000.0000,4735000.000,1
725000.0000,4735000.000,1
735000.0000,4735000.000,1
705000.0000,4725000.000,1
715000.0000,4725000.000,1
735000.0000,4725000.000,1
705000.0000,4715000.000,1
715000.0000,4715000.000,1
705000.0000,4705000.000,1
715000.0000,4695000.000,1
735000.0000,4695000.000,1
715000.0000,4685000.000,1
725000.0000,4685000.000,1
735000.0000,4685000.000,1
757639.0736,4715802.646,1
777594.0414,4717218.957,1
787573.3319,4717927.313,1
756930.4477,4725778.859,1
766907.1981,4726488.152,1
776885.1510,4727197.578,1
786864.3065,4727907.137,1
756220.6193,4735754.942,1
808243.6220,4709362.064,1
818226.6657,4710069.628,1
828210.9155,4710777.333,1
838196.3714,4711485.180,1
848183.0333,4712193.173,1
858170.9012,4712901.312,1
868159.9752,4713609.600,1
878150.2553,4714318.038,1
888141.7415,4715026.628,1
807535.5257,4719344.434,1
817518.4291,4720053.203,1
827502.5367,4720762.113,1
837487.8487,4721471.166,1
847474.3648,4722180.364,1
857462.0853,4722889.708,1
867451.0100,4723599.201,1
796844.6646,4728616.832,1
806826.2251,4729326.665,1
816808.9882,4730036.637,1
826792.9537,4730746.750,1
836778.1217,4731457.007,1
846764.4922,4732167.408,1
856752.0651,4732877.956,1
866740.8405,4733588.652,1
796134.3000,4738597.721,1
806115.7220,4739308.756,1
816098.3447,4740019.930,1
826082.1682,4740731.244,1
836067.1923,4741442.702,1
846053.4170,4742154.305,1
856040.8425,4742866.055,1
815386.5007,4750003.081,1
825370.1820,4750715.596,1
892371.9669,4655071.331,1
831734.6828,4660851.285,1
841720.8583,4661553.081,1
851708.2488,4662255.021,1
891669.9610,4665064.265,1
841018.3838,4671539.790,1
851005.6286,4672242.944,1
870983.7578,4673649.694,1
880974.6422,4674353.294,1
890966.7400,4675057.045,1
810360.6674,4679414.117,1
820344.1322,4680118.055,1
840314.6960,4681526.355,1
850301.7951,4682230.721,1
870279.6275,4683639.896,1
880270.3609,4684344.708,1
890262.3057,4685049.671,1
809656.1947,4689396.906,1
819639.5191,4690102.054,1
829624.0531,4690807.343,1
839609.7968,4691512.775,1
859584.9131,4692924.076,1
869574.2858,4693629.948,1
879564.8681,4694335.970,1
889556.6600,4695042.144,1
808950.5123,4699379.555,1
818933.6963,4700085.911,1
828918.0882,4700792.409,1
838903.6880,4701499.050,1
868867.7344,4703619.849,1
888849.8047,4705034.463,1
943754.1785,4638581.764,1
953754.2105,4639281.597,1
943053.8172,4648581.103,1
953053.6856,4649282.155,1
963054.7728,4649983.372,1
902365.5872,4655772.806,1
952351.9420,4659282.550,1
962352.8639,4659984.985,1
931651.1140,4667875.969,1
941649.4401,4668579.293,1
951648.9814,4669282.780,1
961649.7379,4669986.431,1
900960.0509,4675760.950,1
910954.5752,4676465.011,1
920950.3127,4677169.229,1
930947.2636,4677873.606,1
940945.4279,4678578.144,1
950944.8056,4679282.845,1
970947.2012,4680692.742,1
900255.4620,4685754.789,1
910249.8298,4686460.062,1
920245.4091,4687165.492,1
930242.2000,4687871.082,1
940240.2024,4688576.832,1
950239.4164,4689282.746,1
970241.4794,4690695.068,1
899549.6616,4695748.472,1
909543.8730,4696454.956,1
919539.2940,4697161.597,1
929535.9248,4697868.397,1
939533.7653,4698575.358,1
949532.8157,4699282.482,1
959533.0758,4699989.771,1
969534.5458,4700697.225,1
898842.6516,4705742.000,1
908836.7064,4706449.692,1
928828.4399,4707865.551,1
938826.1185,4708575.782,1
948824.8738,4709282.054,1
968826.4025,4710699.215,1
978828.9133,4711408.047,1
750111.9909,4705230.247,1
749580.7526,4715218.086,1
749049.2368,4725205.859,1
748516.7235,4735193.568,1
751697.3838,4675266.343,1
