"species","x","y","coords.x1","coords.x2"
"Lacerta schreiberi",587829.610381,4631596.426409,587829.610381,4631596.426409
"Lacerta schreiberi",587779.420507,4631656.817455,587779.420507,4631656.817455
"Lacerta schreiberi",587739.432853,4631718.137763,587739.432853,4631718.137763
"Lacerta schreiberi",587832.875267,4631553.30243,587832.875267,4631553.30243
"Lacerta schreiberi",587822.734798,4631629.234353,587822.734798,4631629.234353
"Lacerta schreiberi",587762.544666,4631514.950109,587762.544666,4631514.950109
"Lacerta schreiberi",587821.649647,4631642.02141,587821.649647,4631642.02141
"Lacerta schreiberi",587823.327551,4631618.04798,587823.327551,4631618.04798
"Lacerta schreiberi",587839.196589,4631575.412589,587839.196589,4631575.412589
"Lacerta schreiberi",587760.875568,4631679.311323,587760.875568,4631679.311323
"Lacerta schreiberi",587737.112241,4631732.615129,587737.112241,4631732.615129
