species,x,y,occ
species2,1.8362482527,42.7115539976,1
species2,1.8293337953,42.6989964245,1
species2,1.8336336275,42.706941145,1
species2,1.5973784991,42.8713186978,1
species2,1.8592470899,42.7220960694,1
species2,1.6746004954,42.7744631925,1
species2,1.4815003286,42.7663209599,1
species2,1.8348597922,42.7217790417,1
species2,1.8387274863,42.7228326925,1
species2,1.7574011558,42.7834691937,1
species2,1.8229842434,42.7046502987,1
species2,1.717544806,42.7913546637,1
species2,1.8053272023,42.7684859644,1
species2,1.6046145173,42.8365949632,1
species2,1.9380445468,42.6996894385,1
species2,1.9496778356,42.6788856265,1
species2,1.9116310276,42.6868574782,1
species2,1.5280308169,42.8488313533,1
species2,1.9008466165,42.7172516433,1
species2,1.7498019638,42.7756207907,1
species2,1.762242888,42.7629988713,1
species2,1.5905177785,42.8133176815,1
species2,1.8806392259,42.7077318044,1
species2,1.8905730295,42.7026684107,1
species2,1.626439537,42.8247464328,1
species2,1.9394279768,42.6812127189,1
species2,1.8196299669,42.7307884338,1
species2,1.7691963983,42.7906595651,1
species2,1.8531086651,42.7293760603,1
species2,1.5785669254,42.858193214,1
species2,1.606944168,42.8471937007,1
species2,1.6885981579,42.7964261255,1
